Column1,Column2,Column3
11.91,255,25.47
11.931,245,22.83
11.952,236,32.6
11.973,226,129.59
11.994,217,129.85
12.015,207,130.51
12.036,198,131.17
12.057,188,131.57
12.078,179,131.7
12.099,170,131.7
12.12,160,135
12.141,151,135
12.162,141,106.89
12.183,132,96.86
12.204,122,99.11
12.225,113,90.4
12.246,103,74.43
12.267,94,70.73
12.288,85,72.18
12.309,75,63.08
12.33,66,51.99
12.351,56,51.99
12.372,47,54.63
12.393,37,47.38
12.414,28,7.26
12.435,18,7.79
12.456,9,7.13
12.477,0,8.31
12.498,9,7.92
12.519,18,7.92
12.54,28,0
12.561,37,0
12.582,47,0
12.603,56,0
12.624,66,0
12.645,75,0
12.666,85,0
12.687,94,0
12.708,103,0
12.729,113,0
12.75,122,7.52
12.771,132,10.43
12.792,141,9.24
12.813,151,10.43
12.834,160,9.24
12.855,170,7.92
12.876,179,7.52
12.897,188,8.45
12.918,198,8.05
12.939,207,7.79
12.96,217,14.91
12.981,226,10.69
13.002,236,20.98
13.023,245,27.58
13.044,255,23.75
13.065,245,19
13.086,236,29.69
13.107,226,34.44
13.128,217,31.14
13.149,207,26.26
13.17,198,34.71
13.191,188,39.06
13.212,179,32.2
13.233,170,34.57
13.254,160,48.96
13.275,151,51.86
13.296,141,44.87
13.317,132,45.79
13.338,122,53.97
13.359,113,50.15
13.38,103,38.8
13.401,94,40.38
13.422,85,45.13
13.443,75,39.33
13.464,66,29.16
13.485,56,33.26
13.506,47,37.08
13.527,37,33.39
13.548,28,7.26
13.569,18,8.45
13.59,9,8.31
13.611,0,6.86
13.632,9,7.52
13.653,18,8.31
13.674,28,0
13.695,37,0
13.716,47,0
13.737,56,0
13.758,66,0
13.779,75,0
13.8,85,0
13.821,94,0
13.842,103,0
13.863,113,0
13.884,122,0
13.905,132,0
13.926,141,0
13.947,151,1.85
13.968,160,9.37
13.989,170,8.71
14.01,179,8.45
14.031,188,8.84
14.052,198,7.39
14.073,207,17.82
14.094,217,17.95
14.115,226,13.06
14.136,236,22.57
14.157,245,27.98
14.178,255,23.62
14.199,245,18.34
14.22,236,28.9
14.241,226,135
14.262,217,135
14.283,207,135
14.304,198,135
14.325,188,135
14.346,179,135
14.367,170,130.65
14.388,160,130.78
14.409,151,131.57
14.43,141,112.7
14.451,132,105.31
14.472,122,107.29
14.493,113,97.39
14.535,94,77.99
14.556,85,77.99
14.577,75,67.83
14.598,66,54.37
14.619,56,55.43
14.64,47,57.14
14.661,37,49.22
14.682,28,0
14.703,18,0
14.724,9,0
14.745,0,7.92
14.766,9,7.39
14.787,18,7.92
14.808,28,0
14.829,37,0
14.85,47,8.71
14.871,56,7.79
14.892,66,6.2
14.913,75,6.47
14.934,85,0.92
14.955,94,0
14.976,103,0
14.997,113,0
15.018,122,0
15.039,132,0
15.06,141,0
15.081,151,0
15.102,160,0
15.123,170,0
15.144,179,0
15.165,188,9.11
15.186,198,10.29
15.207,207,19.79
15.228,217,18.87
15.249,226,13.86
15.27,236,23.89
15.291,245,29.3
15.312,255,24.55
15.333,245,19.79
15.354,236,135
15.375,226,135
15.396,217,135
15.417,207,135
15.438,198,135
15.459,188,135
15.48,179,135
15.501,170,135
15.522,160,135
15.543,151,135
15.564,141,131.04
15.585,132,121.54
15.606,122,116.39
15.627,113,103.86
15.648,103,84.99
15.669,94,81.95
15.69,85,81.55
15.711,75,70.6
15.732,66,56.48
15.753,56,58.46
15.774,47,60.44
15.795,37,51.86
15.816,28,39.72
15.837,18,0
15.858,9,0
15.879,0,0
15.9,9,0
15.921,18,0
15.942,28,0
15.963,37,10.82
15.984,47,9.24
16.005,56,7.65
16.026,66,6.33
16.047,75,7.26
16.068,85,6.47
16.089,94,7.13
16.11,103,7.39
16.131,113,6.86
16.152,122,6.73
16.173,132,0
16.194,141,0
16.215,151,0
16.236,160,0
16.257,170,0
16.278,179,0
16.299,188,0
16.32,198,10.56
16.341,207,19.66
16.362,217,15.18
16.383,226,11.61
16.404,236,21.77
16.425,245,26.66
16.446,255,21.38
16.467,245,16.76
16.488,236,135
16.509,226,135
16.53,217,135
16.551,207,135
16.572,198,135
16.593,188,135
16.614,179,135
16.635,170,135
16.656,160,135
16.677,151,135
16.698,141,135
16.719,132,115.47
16.74,122,112.04
16.761,113,100.69
16.782,103,82.35
16.803,94,79.84
16.824,85,80.1
16.845,75,70.34
16.866,66,57.14
16.887,56,60.18
16.908,47,61.23
16.929,37,52.79
16.95,28,41.7
16.971,18,7.26
16.992,9,6.6
17.013,0,7.26
17.034,9,0
17.055,18,0
17.076,28,0
17.097,37,0
17.118,47,0
17.139,56,8.97
17.16,66,8.45
17.181,75,7.13
17.202,85,7.52
17.223,94,6.99
17.244,103,8.05
17.265,113,7.52
17.286,122,7.26
17.307,132,7.52
17.328,141,8.84
17.349,151,7.39
17.37,160,7.52
17.391,170,7.39
17.412,179,7.39
17.433,188,8.31
17.454,198,8.31
17.475,207,16.76
17.496,217,15.84
17.517,226,15.7
17.538,236,25.34
17.559,245,27.58
17.58,255,22.3
17.601,245,18.08
17.622,236,131.17
17.643,226,135
17.664,217,135
17.685,207,131.17
17.706,198,131.17
17.727,188,131.96
17.748,179,135
17.769,170,135
17.79,160,135
17.811,151,135
17.832,141,114.28
17.853,132,105.57
17.874,122,104.25
17.895,113,92.24
17.916,103,77.33
17.937,94,76.41
17.958,85,75.75
17.979,75,65.85
18,66,52.26
18.021,56,55.29
18.042,47,56.35
18.063,37,17.55
18.084,28,7.79
18.105,18,7.65
18.126,9,6.86
18.147,0,7.13
18.168,9,6.33
18.189,18,1.72
18.21,28,3.83
18.231,37,4.35
18.252,47,4.49
18.273,56,3.96
18.294,66,2.51
18.315,75,1.32
18.336,85,7.79
18.357,94,8.18
18.378,103,8.58
18.399,113,8.71
18.42,122,7.92
18.441,132,8.18
18.462,141,7.26
18.483,151,6.86
18.504,160,6.47
18.525,170,7.13
18.546,179,7.52
18.567,188,5.41
18.588,198,17.29
18.609,207,24.55
18.63,217,21.51
18.651,226,16.36
18.672,236,26.39
18.693,245,135
18.714,255,135
18.735,245,135
18.756,236,129.72
18.777,226,129.99
18.798,217,130.38
18.819,207,130.91
18.84,198,131.57
18.861,188,131.96
18.882,179,131.57
18.903,170,131.83
18.924,160,135
18.945,151,135
18.966,141,135
18.987,132,122.46
19.008,122,113.23
19.029,113,99.37
19.05,103,82.08
19.071,94,80.89
19.092,85,79.57
19.113,75,71
19.134,66,54.9
19.155,56,8.31
19.176,47,8.31
19.197,37,8.18
19.218,28,7.13
19.239,18,6.73
19.26,9,7.65
19.281,0,7.92
19.302,9,10.43
19.323,18,7.26
19.344,28,8.45
19.365,37,8.45
19.386,47,8.45
19.407,56,8.05
19.428,66,6.47
19.449,75,5.01
19.47,85,2.9
19.491,94,1.72
19.512,103,0.53
19.533,113,0
19.554,122,9.63
19.575,132,8.58
19.596,141,8.58
19.617,151,9.24
19.638,160,7.79
19.659,170,7.92
19.68,179,7.26
19.701,188,4.22
19.722,198,16.5
19.743,207,25.07
19.764,217,22.83
19.785,226,18.34
19.806,236,29.82
19.827,245,34.18
19.848,255,135
19.869,245,135
19.89,236,135
19.911,226,135
19.932,217,135
19.953,207,130.78
19.974,198,131.04
19.995,188,131.3
20.016,179,131.44
20.037,170,132.1
20.058,160,131.57
20.079,151,131.44
20.1,141,131.3
20.121,132,131.44
20.142,122,119.56
20.163,113,105.57
20.184,103,87.1
20.205,94,85.65
20.226,85,84.06
20.247,75,73.64
20.268,66,60.18
20.289,56,62.55
20.31,47,61.5
20.331,37,6.6
20.352,28,7.79
20.373,18,8.05
20.394,9,8.45
20.415,0,7.13
20.436,9,7.92
20.457,18,8.84
20.478,28,3.7
20.499,37,4.22
20.52,47,4.22
20.541,56,4.09
20.562,66,2.77
20.583,75,1.85
20.604,85,0.92
20.625,94,0.13
20.646,103,0
20.667,113,0
20.688,122,0
20.709,132,0
20.73,141,0
20.751,151,8.58
20.772,160,8.45
20.793,170,9.77
20.814,179,7.65
20.835,188,0
20.856,198,14.38
20.877,207,22.83
20.898,217,20.06
20.919,226,17.16
20.94,236,28.9
20.961,245,32.86
20.982,255,26.52
21.003,245,135
21.024,236,135
21.045,226,135
21.066,217,135
21.087,207,135
21.108,198,135
21.129,188,135
21.15,179,131.04
21.171,170,130.65
21.192,160,131.3
21.213,151,131.44
21.234,141,131.17
21.255,132,131.7
21.276,122,119.56
21.297,113,105.97
21.318,103,88.28
21.339,94,86.7
21.36,85,83.93
21.381,75,71.92
21.402,66,58.2
21.423,56,61.23
21.444,47,59.78
21.465,37,0
21.486,28,0
21.507,18,0
21.528,9,7.79
21.549,0,7.39
21.57,9,7.65
21.591,18,9.37
21.612,28,2.77
21.633,37,12.54
21.654,47,10.69
21.675,56,9.37
21.696,66,7.92
21.717,75,1.32
21.738,85,0.53
21.759,94,0
21.78,103,0
21.801,113,0
21.822,122,0
21.843,132,0
21.864,141,0
21.885,151,0
21.906,160,0
21.927,170,0
